run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,warning_count,drop_low_tail_models_quantile,min_item_sd,max_item_mean,min_abs_point_biserial,min_models_per_item,min_item_coverage
real_exploration_seed7::large_release_default_subset::reconstruction_relaxed::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__reconstruction_relaxed__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,promoted_current,current promoted preprocessing profile,deterministic_info,7,True,347.91626966604963,65.7246204999974,6.5399307910120115,6.416181333945133,14,0.0,0.0,0.99,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_low_tail_0005::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_low_tail_0005__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005,winner_low_tail,winner plus very light low-tail trimming,deterministic_info,7,False,293.0166701251874,58.98077308398206,6.26801829203032,6.446126834023744,14,0.0005,0.0,0.99,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_low_tail_001::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_low_tail_001__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_001,winner_low_tail,winner plus spec-sized low-tail trimming,deterministic_info,7,False,288.53257866797503,59.12253958394285,6.205731375026517,6.171699916943908,14,0.001,0.0,0.99,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_low_tail_002::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_low_tail_002__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_002,winner_low_tail,winner plus a slightly stronger low-tail trim,deterministic_info,7,False,291.19862491602544,59.025815499946475,6.226491790963337,6.100430165999569,14,0.002,0.0,0.99,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_pb_002::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_pb_002__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_pb_002,winner_discrimination,winner plus a very light point-biserial floor,deterministic_info,7,False,331.4253320408752,61.46018137491774,6.357100042048842,7.502167832921259,14,0.0,0.0,0.99,0.02,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_pb_005::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_pb_005__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_pb_005,winner_discrimination,winner plus a mild point-biserial floor,deterministic_info,7,False,209.0723882901948,66.31357641599607,3.460223999922164,1.357880000025034,22,0.0,0.0,0.99,0.05,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_pb_010::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_pb_010__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_pb_010,winner_discrimination,winner plus a stricter point-biserial floor,deterministic_info,7,False,82.90025270811748,73.54546645795926,0.2170721250586211,0.0342478330712765,20,0.0,0.0,0.99,0.1,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_ceiling_092::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_ceiling_092__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_ceiling_092,winner_ceiling,winner plus a 0.92 ceiling cut that actually bites on this bundle,deterministic_info,7,False,230.9614474992268,74.44294991600327,3.7176954169990495,1.4147626250050962,22,0.0,0.0,0.92,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_ceiling_090::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_ceiling_090__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_ceiling_090,winner_ceiling,winner plus a stronger 0.90 ceiling cut,deterministic_info,7,False,192.64580037409905,74.77092737494968,2.4697426250204444,0.9819157499587164,22,0.0,0.0,0.9,0.0,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_low_tail_0005_pb_002::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_low_tail_0005_pb_002__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_0005_pb_002,winner_combo,winner plus very light low-tail trimming and a soft point-biserial floor,deterministic_info,7,False,350.0377098331228,75.07627745799255,7.082207500003278,7.451416583033279,14,0.0005,0.0,0.99,0.02,50,0.7
real_exploration_seed7::large_release_default_subset::relaxed_low_tail_001_pb_005::deterministic_info::seed-7,real_exploration_seed7__large_release_default_subset__relaxed_low_tail_001_pb_005__deterministic_info__seed-7,real_exploration_seed7,large_release_default_subset,large release-default real-data subset,relaxed_low_tail_001_pb_005,winner_combo,winner plus spec low-tail trimming and a mild point-biserial floor,deterministic_info,7,False,240.1360722531099,75.24058945896104,3.6945573749253526,1.86667324998416,22,0.001,0.0,0.99,0.05,50,0.7
