search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,is_baseline,benchmark_id,selection_stage,pairwise_jaccard_mean,pairwise_jaccard_min,seed_count
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b1,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b1,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b2,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b2,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b3,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,True,b3,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b1,final,0.20000000000000004,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b1,preselect,0.2698412698412698,0.14285714285714285,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b2,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b2,preselect,0.6,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b3,final,0.39999999999999997,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,True,b3,preselect,0.7333333333333334,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b1,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b1,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b2,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b2,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b3,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,deterministic_info,False,b3,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b1,final,0.20000000000000004,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b1,preselect,0.2698412698412698,0.14285714285714285,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b2,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b2,preselect,0.6,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b3,final,0.39999999999999997,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,False,b3,preselect,0.7333333333333334,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b1,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b1,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b2,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b2,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b3,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,False,b3,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b1,final,0.20000000000000004,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b1,preselect,0.2698412698412698,0.14285714285714285,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b2,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b2,preselect,0.6,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b3,final,0.39999999999999997,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,False,b3,preselect,0.7333333333333334,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b1,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b1,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b2,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b2,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b3,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,deterministic_info,False,b3,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b1,final,0.20000000000000004,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b1,preselect,0.2698412698412698,0.14285714285714285,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b2,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b2,preselect,0.6,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b3,final,0.39999999999999997,0.2,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_soft,coverage_variants,soften model coverage while keeping other filters light,random_cv,False,b3,preselect,0.7333333333333334,0.6,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b1,final,0.6666666666666666,0.5,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b1,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b2,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b2,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b3,final,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,deterministic_info,False,b3,preselect,1.0,1.0,3
compact_broad,compact_validation_fixture,compact validation fixture,coverage_strict,coverage_variants,tighten model coverage and item response count,random_cv,False,b1,final,0.20000000000000004,0.2,3
