search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,7,False,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,11,False,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,deterministic_info,19,False,0.0,0.0,0.99,0.0,60,0.7
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,7,False,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,11,False,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization,synthetic_dense_overlap,synthetic dense-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_dense_overlap/responses_long.parquet,minimal_cleaning,minimal_cleaning,minimal cleaning challenger with softer item-count floor,deterministic_info,19,False,0.0,0.0,1.0,0.0,1,0.7
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,7,True,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,11,True,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,baseline_current,psychometric_default,current psychometric-style baseline,random_cv,19,True,0.001,0.01,0.95,0.05,40,0.8
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,0.0,0.0,0.99,0.0,40,0.7
synthetic_generalization,synthetic_sparse_overlap,synthetic sparse-overlap bundle,reports/generalization_optimization/generated_bundles/synthetic_sparse_overlap/responses_long.parquet,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,0.0,0.0,0.99,0.0,40,0.7
