run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,benchmark_id,refused,refusal_reasons,benchmark_warning_count,run_warning_count,retained_models,retained_items,selected_items_final,selected_items_preselect,joint_available,best_available_model_type,best_available_test_rmse,best_available_test_mae,best_available_test_pearson,best_available_test_spearman,marginal_test_rmse,marginal_test_mae,marginal_test_pearson,marginal_test_spearman,joint_test_rmse,joint_test_mae,joint_test_pearson,joint_test_spearman,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,requested_drop_low_tail_models_quantile,effective_drop_low_tail_models_quantile,requested_min_item_sd,effective_min_item_sd,requested_max_item_mean,effective_max_item_mean,requested_min_abs_point_biserial,effective_min_abs_point_biserial,requested_min_models_per_item,effective_min_models_per_item,requested_min_item_coverage,effective_min_item_coverage
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-7,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,b2,False,,1,6,60,7,3,4,True,joint,12.828151971643797,10.951120919756953,0.7917946255413554,0.8366600265340757,10.367677784628935,9.138712854822503,0.8451446837597124,0.9036961141150641,12.828151971643797,10.951120919756953,0.7917946255413554,0.8366600265340757,2.610616293270141,0.03800408402457833,0.7220862089889124,0.9792667920701206,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-7,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,7,False,b3,False,,1,6,60,7,3,4,True,joint,7.828342026483096,6.058766572905223,0.9267224429641087,0.9276336570439174,8.056742747808661,7.059889405002586,0.9289852625881596,0.9393364366277243,7.828342026483096,6.058766572905223,0.9267224429641087,0.9276336570439174,2.610616293270141,0.03800408402457833,0.7220862089889124,0.9792667920701206,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-11,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,b1,False,,1,6,60,7,3,4,True,joint,14.263648035811114,12.357674302537065,0.9231002709775442,0.9856107606091624,11.196583756258105,10.796262301061622,0.9622156280025091,1.0,14.263648035811114,12.357674302537065,0.9231002709775442,0.9856107606091624,2.6135191252687946,0.0396435420261696,0.7187505830079317,0.9739635000005364,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-11,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,b2,False,,1,6,60,7,3,4,True,joint,15.111163426022681,12.382602360809273,0.9196449845709377,0.753702346348183,13.778706354256952,12.176137147755817,0.955319987756374,0.9095085938862487,15.111163426022681,12.382602360809273,0.9196449845709377,0.753702346348183,2.6135191252687946,0.0396435420261696,0.7187505830079317,0.9739635000005364,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-11,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-11,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,11,False,b3,False,,1,6,60,7,3,4,True,joint,13.626785067140993,11.547386746193261,0.6318487671639615,0.802377419802878,13.17913860147969,9.990406736708866,0.5264411151445112,0.5720775535473553,13.626785067140993,11.547386746193261,0.6318487671639615,0.802377419802878,2.6135191252687946,0.0396435420261696,0.7187505830079317,0.9739635000005364,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-19,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,b1,False,,1,6,60,7,3,4,True,joint,21.052339134335188,17.493709789370552,0.9531686005719117,0.9276336570439174,19.72454169918378,17.531846466776454,0.849442063516642,0.6063390625908325,21.052339134335188,17.493709789370552,0.9531686005719117,0.9276336570439174,2.6459415829740465,0.03742637496907264,0.7222010419936851,0.9953070409828797,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-19,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,b2,False,,1,6,60,7,3,4,True,joint,15.945734019438925,13.862966865650412,0.8514334164764443,0.8116794499134278,14.799461564056308,12.55423162777697,0.7332377616795287,0.5852390484520126,15.945734019438925,13.862966865650412,0.8514334164764443,0.8116794499134278,2.6459415829740465,0.03742637496907264,0.7222010419936851,0.9953070409828797,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::reconstruction_relaxed::random_cv::seed-19,compact_validation__compact_validation_fixture__reconstruction_relaxed__random_cv__seed-19,compact_validation,compact_validation_fixture,compact validation fixture,reconstruction_relaxed,reconstruction_first_relaxed,relaxed reconstruction-first preprocessing with deterministic-info support,random_cv,19,False,b3,False,,1,6,60,7,3,4,True,joint,10.292536984608915,8.770701052163963,0.8415268270400633,0.7826908981308054,10.555510280169827,9.304872556245245,0.8378264706615667,0.8008534347238067,10.292536984608915,8.770701052163963,0.8415268270400633,0.7826908981308054,2.6459415829740465,0.03742637496907264,0.7222010419936851,0.9953070409828797,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,10,12,0.7,0.7
compact_validation::compact_validation_fixture::baseline_current::deterministic_info::seed-7,compact_validation__compact_validation_fixture__baseline_current__deterministic_info__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,b1,False,,1,6,60,7,3,4,True,joint,18.434243650378143,14.543378285870938,0.7864999119470257,0.898645105261295,18.30675127166344,15.61361555149309,0.7519746610707012,0.7700513795421217,18.434243650378143,14.543378285870938,0.7864999119470257,0.898645105261295,2.011812206241302,0.04058654105756432,0.08968191593885422,1.012329624965787,0.001,0.001,0.01,0.01,0.99,0.99,0.0,0.0,10,12,0.8,0.8
compact_validation::compact_validation_fixture::baseline_current::deterministic_info::seed-7,compact_validation__compact_validation_fixture__baseline_current__deterministic_info__seed-7,compact_validation,compact_validation_fixture,compact validation fixture,baseline_current,psychometric_default,current psychometric-style baseline,deterministic_info,7,True,b2,False,,1,6,60,7,3,4,True,joint,12.71803276182826,10.737690494152588,0.8133192562902423,0.8366600265340757,10.367677784628935,9.138712854822503,0.8451446837597124,0.9036961141150641,12.71803276182826,10.737690494152588,0.8133192562902423,0.8366600265340757,2.011812206241302,0.04058654105756432,0.08968191593885422,1.012329624965787,0.001,0.001,0.01,0.01,0.99,0.99,0.0,0.0,10,12,0.8,0.8
